,course_name,skill_label
0,"""Schwierige"" Klienten? - Mit Patienten, Angehörigen und Kollegen clever kommunizieren ",in der Fachkrankenpflege kommunizieren
1,"""Schwierige"" Klienten? - Mit Patienten, Angehörigen und Kollegen clever kommunizieren ",Fachkrankenpflege
2,"""Schwierige"" Klienten? - Mit Patienten, Angehörigen und Kollegen clever kommunizieren ",Feedback zum Kommunikationsstil von Patienten/Patientinnen geben
3,"""Schwierige"" Klienten? - Mit Patienten, Angehörigen und Kollegen clever kommunizieren ",bei Kommunikationsstörungen beraten
4,"""Schwierige"" Klienten? - Mit Patienten, Angehörigen und Kollegen clever kommunizieren ",Patienten/Patientinnen zu familiären Themen beraten
5,"""Schwierige"" Klienten? - Mit Patienten, Angehörigen und Kollegen clever kommunizieren ",Sprachstörungen diagnostizieren
6,"""Schwierige"" Klienten? - Mit Patienten, Angehörigen und Kollegen clever kommunizieren ",auf Fragen von Patienten/Patientinnen antworten
7,"""Schwierige"" Klienten? - Mit Patienten, Angehörigen und Kollegen clever kommunizieren ",die Aktivitäten von Patienten/Patientinnen analysieren
8,"""Schwierige"" Klienten? - Mit Patienten, Angehörigen und Kollegen clever kommunizieren ",Analyse einer auf Video aufgenommenen Vorstellung leiten
9,"""Schwierige"" Klienten? - Mit Patienten, Angehörigen und Kollegen clever kommunizieren ",Patienten/Patientinnen zu Möglichkeiten der Verbesserung des Hörvermögens beraten
10,Aktuelles Arbeitsrecht 2022,Arbeitsrecht
11,Aktuelles Arbeitsrecht 2022,Arbeitsanweisungen für Hebetätigkeiten verstehen
12,Aktuelles Arbeitsrecht 2022,gewerkschaftsrechtliche Regelungen
13,Aktuelles Arbeitsrecht 2022,kollektives Arbeitsrecht
14,Aktuelles Arbeitsrecht 2022,Arbeitserlaubnisse beantragen
15,Aktuelles Arbeitsrecht 2022,Arbeitsverträge aushandeln
16,Aktuelles Arbeitsrecht 2022,Individualarbeitsrecht
17,Ambulante Pflege - Rechtssicher Handeln und Haftungsrisiken vermeiden,Rechtsvorschriften zur Gesundheitsfürsorge
18,Ambulante Pflege - Rechtssicher Handeln und Haftungsrisiken vermeiden,Ersthilfe anwenden
19,Ambulante Pflege - Rechtssicher Handeln und Haftungsrisiken vermeiden,potenzielle Pflegeeltern evaluieren
20,Ambulante Pflege - Rechtssicher Handeln und Haftungsrisiken vermeiden,Bedürfnisse der Opfer von Straftaten
21,Ambulante Pflege - Rechtssicher Handeln und Haftungsrisiken vermeiden,Rechtsvorschriften im Zusammenhang mit der Praxis im Gesundheitswesen einhalten
22,Ambulante Pflege - Rechtssicher Handeln und Haftungsrisiken vermeiden,über Krankheitspräventionen informieren
23,Ambulante Pflege - Rechtssicher Handeln und Haftungsrisiken vermeiden,Gesetze über die Beförderung von Gefahrgütern
24,"Basisqualifikation für ungelernte Pflegekräfte (zertifiziert, berufsbegleitend)",Krankenpflegekräfte beaufsichtigen
25,"Basisqualifikation für ungelernte Pflegekräfte (zertifiziert, berufsbegleitend)",mit Krankenpflegepersonal arbeiten
26,"Basisqualifikation für ungelernte Pflegekräfte (zertifiziert, berufsbegleitend)",Krankenpflege planen
27,"Basisqualifikation für ungelernte Pflegekräfte (zertifiziert, berufsbegleitend)",Krankenpflege bewerten
28,"Basisqualifikation für ungelernte Pflegekräfte (zertifiziert, berufsbegleitend)",Mitarbeiterführung in der Krankenpflege
29,"Basisqualifikation für ungelernte Pflegekräfte (zertifiziert, berufsbegleitend)",die Grundlagen der Krankenpflege umsetzen
30,"Basisqualifikation für ungelernte Pflegekräfte (zertifiziert, berufsbegleitend)",Grundlagen der Krankenpflege vermitteln
31,"Basisqualifikation für ungelernte Pflegekräfte (zertifiziert, berufsbegleitend)",evidenzbasierte Krankenpflege
32,"Basisqualifikation für ungelernte Pflegekräfte (zertifiziert, berufsbegleitend)",unter Aufsicht in der Pflege arbeiten
33,Berufspädagogische Pflichtfortbildung für Praxisanleiter/-innen (24 UE),Krankenpflegekräfte beaufsichtigen
34,Berufspädagogische Pflichtfortbildung für Praxisanleiter/-innen (24 UE),professionelle Krankenpflege anbieten
35,Berufspädagogische Pflichtfortbildung für Praxisanleiter/-innen (24 UE),Lernen im Gesundheitswesen fördern
36,Berufspädagogische Pflichtfortbildung für Praxisanleiter/-innen (24 UE),zu Fortschritten in der Fachkrankenpflege beitragen
37,Berufspädagogische Pflichtfortbildung für Praxisanleiter/-innen (24 UE),die eigene berufliche Entwicklung vorantreiben
38,Berufspädagogische Pflichtfortbildung für Praxisanleiter/-innen (24 UE),Seminare zur lebenslangen beruflichen Weiterentwicklung leiten
39,Berufspädagogische Pflichtfortbildung für Praxisanleiter/-innen (24 UE),Gesundheit in der Fachkrankenpflege fördern
40,Berufspädagogische Pflichtfortbildung für Praxisanleiter/-innen (24 UE),Qualität von Pflegedienstleistungen analysieren
