,course_name,skill_label
0,"""Schwierige"" Klienten? - Mit Patienten, Angehörigen und Kollegen clever kommunizieren ",in der Fachkrankenpflege kommunizieren
1,"""Schwierige"" Klienten? - Mit Patienten, Angehörigen und Kollegen clever kommunizieren ",Fachkrankenpflege
2,"""Schwierige"" Klienten? - Mit Patienten, Angehörigen und Kollegen clever kommunizieren ",Feedback zum Kommunikationsstil von Patienten/Patientinnen geben
3,"""Schwierige"" Klienten? - Mit Patienten, Angehörigen und Kollegen clever kommunizieren ",bei Kommunikationsstörungen beraten
4,"""Schwierige"" Klienten? - Mit Patienten, Angehörigen und Kollegen clever kommunizieren ",Patienten/Patientinnen zu familiären Themen beraten
5,Aktuelles Arbeitsrecht 2022,Arbeitsrecht
6,Aktuelles Arbeitsrecht 2022,Arbeitsanweisungen für Hebetätigkeiten verstehen
7,Aktuelles Arbeitsrecht 2022,gewerkschaftsrechtliche Regelungen
8,Aktuelles Arbeitsrecht 2022,kollektives Arbeitsrecht
9,Aktuelles Arbeitsrecht 2022,Arbeitserlaubnisse beantragen
10,Ambulante Pflege - Rechtssicher Handeln und Haftungsrisiken vermeiden,Rechtsvorschriften zur Gesundheitsfürsorge
11,Ambulante Pflege - Rechtssicher Handeln und Haftungsrisiken vermeiden,Ersthilfe anwenden
12,Ambulante Pflege - Rechtssicher Handeln und Haftungsrisiken vermeiden,potenzielle Pflegeeltern evaluieren
13,Ambulante Pflege - Rechtssicher Handeln und Haftungsrisiken vermeiden,Bedürfnisse der Opfer von Straftaten
14,Ambulante Pflege - Rechtssicher Handeln und Haftungsrisiken vermeiden,Rechtsvorschriften im Zusammenhang mit der Praxis im Gesundheitswesen einhalten
15,Aufgaben des gesetzlichen Betreuers - Zur Reform des Betreuungsrechts,an akademischen Ausschüssen teilnehmen
16,"Basisqualifikation für ungelernte Pflegekräfte (zertifiziert, berufsbegleitend)",Krankenpflegekräfte beaufsichtigen
17,"Basisqualifikation für ungelernte Pflegekräfte (zertifiziert, berufsbegleitend)",mit Krankenpflegepersonal arbeiten
18,"Basisqualifikation für ungelernte Pflegekräfte (zertifiziert, berufsbegleitend)",Krankenpflege planen
19,"Basisqualifikation für ungelernte Pflegekräfte (zertifiziert, berufsbegleitend)",Krankenpflege bewerten
20,"Basisqualifikation für ungelernte Pflegekräfte (zertifiziert, berufsbegleitend)",Mitarbeiterführung in der Krankenpflege
21,Berufspädagogische Pflichtfortbildung für Praxisanleiter/-in (8 UE) - Online-Seminar,Krankenpflegekräfte beaufsichtigen
22,Berufspädagogische Pflichtfortbildung für Praxisanleiter/-in (8 UE) - Online-Seminar,Online-Schulungen anbieten
23,Berufspädagogische Pflichtfortbildung für Praxisanleiter/-innen (24 UE),Krankenpflegekräfte beaufsichtigen
24,Berufspädagogische Pflichtfortbildung für Praxisanleiter/-innen (24 UE),professionelle Krankenpflege anbieten
25,Berufspädagogische Pflichtfortbildung für Praxisanleiter/-innen (24 UE),Lernen im Gesundheitswesen fördern
26,Berufspädagogische Pflichtfortbildung für Praxisanleiter/-innen (24 UE),zu Fortschritten in der Fachkrankenpflege beitragen
27,Berufspädagogische Pflichtfortbildung für Praxisanleiter/-innen (24 UE),die eigene berufliche Entwicklung vorantreiben
28,Berufspädagogische Pflichtfortbildung für Praxisanleiter/-innen (8 UE),Krankenpflegekräfte beaufsichtigen
29,Berufspädagogische Pflichtfortbildung für Praxisanleiter/-innen (8 UE),professionelle Krankenpflege anbieten
30,Berufspädagogische Pflichtfortbildung für Praxisanleiter/-innen (8 UE),Lernen im Gesundheitswesen fördern
31,Berufspädagogische Pflichtfortbildung für Praxisanleiter/-innen (8 UE),Qualität von Pflegedienstleistungen analysieren
32,Beschäftigungs- und Aktivierungstherapie für dementiell erkrankte alte Menschen in stationären Altenhilfeeinrichtungen,andere Angehörige der Gesundheitsberufe betreuen
33,Beschäftigungs- und Aktivierungstherapie für dementiell erkrankte alte Menschen in stationären Altenhilfeeinrichtungen,pädagogische Strategien zur Förderung der Kreativität nutzen
34,Beschäftigungs- und Aktivierungstherapie für dementiell erkrankte alte Menschen in stationären Altenhilfeeinrichtungen,therapeutische Kommunikationstechniken einsetzen
35,Beschäftigungs- und Aktivierungstherapie für dementiell erkrankte alte Menschen in stationären Altenhilfeeinrichtungen,ein Team leiten
36,Beschäftigungs- und Aktivierungstherapie für dementiell erkrankte alte Menschen in stationären Altenhilfeeinrichtungen,mit älteren Menschen kommunizieren
37,"Betreuungskraft gem. §§ 43b, 53c SGB XI (berufsbegleitend)",Krankenpflegekräfte beaufsichtigen
38,Demenz und Recht: Rechtssicheres Handeln zwischen Freiheit und Sicherheit ,Bedürfnisse der Opfer von Straftaten
39,Demenz und Recht: Rechtssicheres Handeln zwischen Freiheit und Sicherheit ,Ersthilfe anwenden
